书名,评分,作者,出版社,出版日期,价格,链接
海边的卡夫卡,8.1,[日] 村上春树,上海译文出版社,2003-4,25.0,https://book.douban.com/subject/1059419/
莲花,8.0,安妮宝贝,作家出版社,2006-3,25.0,https://book.douban.com/subject/1529893/
兄弟（上）,8.3,余华,上海文艺出版社,2005-8,16.0,https://book.douban.com/subject/1401425/
呐喊,8.9,鲁迅,人民文学出版社,1973年3月,0.36,https://book.douban.com/subject/1449351/
乌合之众,8.2,（法）勒庞,中央编译出版社,2011-5-1,16.0,https://book.douban.com/subject/1012611/
情书,8.6,[日] 岩井俊二,天津人民出版社,2004-7,18.0,https://book.douban.com/subject/1080370/
肖申克的救赎,9.1,[美] 斯蒂芬·金,人民文学出版社,2006-7,29.9,https://book.douban.com/subject/1829226/
羊脂球,8.1,（法）莫泊桑,北京燕山出版社,2007-6,13.5,https://book.douban.com/subject/1205370/
动物农场,9.2,[英] 乔治·奥威尔,上海译文出版社,2007-3,10.0,https://book.douban.com/subject/2035179/
安徒生童话故事集,9.2,（丹麦）安徒生,人民文学出版社,1997-08,25.0,https://book.douban.com/subject/1046209/
神雕侠侣,8.9,金庸,生活·读书·新知三联书店,1994-5,76.8,https://book.douban.com/subject/1255624/
爱你就像爱生命,8.8,王小波,上海锦绣文章出版社,2008-5,18.0,https://book.douban.com/subject/3071717/
少有人走的路,8.4,[美] M·斯科特·派克,吉林文史出版社,2007-1,26.0,https://book.douban.com/subject/1775691/
红玫瑰与白玫瑰,8.4,张爱玲,花城出版社,1996-06,12.8,https://book.douban.com/subject/1014278/
朝花夕拾,8.7,鲁迅,人民文学出版社,1972年4月,0.25,https://book.douban.com/subject/1449352/
阿Q正传,8.7,鲁迅 著,上海书店出版社,2003-7,14.5,https://book.douban.com/subject/1088065/
当我谈跑步时我谈些什么,8.2,[日] 村上春树,南海出版公司,2009-1,25.0,https://book.douban.com/subject/3369600/
海底两万里,8.5,[法国] 儒尔·凡尔纳,译林出版社,2002-9,19.5,https://book.douban.com/subject/1085470/
梦里花落知多少,8.8,三毛,北京十月文艺出版社,2007-6,28.0,https://book.douban.com/subject/2070844/
鬼吹灯之精绝古城,8.1,天下霸唱,安徽文艺出版社,2006,25.0,https://book.douban.com/subject/1882933/
遇见未知的自己,8.0,张德芬,华夏出版社,2008-1,29.0,https://book.douban.com/subject/2340100/
民主的细节,8.6,刘瑜,上海三联书店,2009-6,25.0,https://book.douban.com/subject/3813669/
一只特立独行的猪,8.8,王小波,北方文艺出版社,2006-4,18.8,https://book.douban.com/subject/1767945/
巨人的陨落,8.9,[英] 肯·福莱特,江苏凤凰文艺出版社,2016-5-1,129.8,https://book.douban.com/subject/26698660/
半生缘,8.6,张爱玲,北京十月文艺出版社,2006-12,28.0,https://book.douban.com/subject/1963684/
格林童话全集,9.0,[德国]格林兄弟,人民文学出版社,1994-11,21.45,https://book.douban.com/subject/1043008/
杀死一只知更鸟,9.2,[美] 哈珀·李,译林出版社,2012-9,32.0,https://book.douban.com/subject/6781808/
华胥引（全二册）,8.4,唐七公子,现代出版社,2011-1,39.8,https://book.douban.com/subject/5916880/
你今天真好看,8.6,[美]莉兹•克里莫,雅众文化/天津人民出版社,2015-8,39.0,https://book.douban.com/subject/26602392/
射雕英雄传（全四册）,9.0,金庸,生活·读书·新知三联书店,1999-04,47.0,https://book.douban.com/subject/1044547/
一个人的朝圣,8.1,[英] 蕾秋·乔伊斯,北京联合出版公司,2013-9-1,32.8,https://book.douban.com/subject/24934182/
陪安东尼度过漫长岁月,8.3,安东尼,长江文艺出版社,2008-3,18.0,https://book.douban.com/subject/3014576/
这些都是你给我的爱,8.3,文：安东尼,长江文艺出版社,2010-3,24.8,https://book.douban.com/subject/4714734/
如何阅读一本书,8.4,[美] 莫提默·J. 艾德勒,商务印书馆,2004-1,38.0,https://book.douban.com/subject/1013208/
孩子你慢慢来,8.8,龙应台,生活·读书·新知三联书店,2009-12-1,28.0,https://book.douban.com/subject/4207781/
喜宝,8.0,亦舒,新世界出版社,2007-2,22.0,https://book.douban.com/subject/2022979/
这些人，那些事,8.8,吴念真,译林出版社,2011-9,28.0,https://book.douban.com/subject/6388661/
麦琪的礼物,8.6,[美] 欧·亨利,上海社会科学院出版社,2003-7,25.0,https://book.douban.com/subject/1051193/
流浪地球,8.6,刘慈欣,湖北长江出版集团，长江文艺出版社,2008-11,28.0,https://book.douban.com/subject/3266609/
查令十字街84号,8.3,[美] 海莲·汉芙,译林出版社,2005-05-01,18.0,https://book.douban.com/subject/1316648/
西游记（全二册）,8.9,吴承恩,人民文学出版社,2004-8,47.2,https://book.douban.com/subject/1029553/
雷雨,8.6,曹禺,人民文学出版社,1999-05,9.2,https://book.douban.com/subject/1013416/
水浒传（全二册）,8.6,[明] 施耐庵,人民文学出版社,1997-1,50.6,https://book.douban.com/subject/1008357/
菊与刀,8.2,（美）鲁思・本尼迪克特,商务印书馆,1990-6,16.0,https://book.douban.com/subject/1022238/
我与地坛,9.0,史铁生,春风文艺出版社,2002-5,25.0,https://book.douban.com/subject/1209899/
刀锋,9.0,[英]毛姆,上海译文出版社,2007-3,18.0,https://book.douban.com/subject/2035162/
狂人日记,8.7,鲁迅,京华出版社,2006-3,39.8,https://book.douban.com/subject/1398395/
富爸爸，穷爸爸,8.3,（美）罗伯特・T・清崎,世界图书出版公司,2000-09,18.8,https://book.douban.com/subject/1033778/
最好的我们,8.8,八月长安,湖南文艺出版社,2013-8-5,55.0,https://book.douban.com/subject/24754316/
步步惊心,8.1,桐华,民族出版社,2006-6,25.0,https://book.douban.com/subject/1812439/
地下铁,8.3,幾米,辽宁教育出版社,2002-2,32.0,https://book.douban.com/subject/1056733/
球状闪电,8.7,刘慈欣,四川科学技术出版社,2005-6,22.0,https://book.douban.com/subject/1192090/
尘埃落定,8.5,阿来,人民文学出版社,1998-3-1,22.0,https://book.douban.com/subject/1080309/
呼兰河传,8.9,萧红,百花文艺出版社,2005-01,19.0,https://book.douban.com/subject/1060852/
悲惨世界（上中下）,8.9,[法] 雨果,人民文学出版社,1992-6,66.0,https://book.douban.com/subject/1205054/
瓦尔登湖,8.4,[美] 梭罗,上海译文出版社,2006-8,11.0,https://book.douban.com/subject/1865089/
飞鸟集,8.9,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,2004-6,16.8,https://book.douban.com/subject/1058661/
那些回不去的年少时光,8.4,桐华,江苏文艺出版社,2010-01,23.8,https://book.douban.com/subject/4231381/
孤独六讲,8.1,蒋勋,广西师范大学出版社,2009-10-1,36.0,https://book.douban.com/subject/4124727/
倚天屠龙记(共四册),8.6,金庸,三联书店,1999-04,47.0,https://book.douban.com/subject/1070851/
金锁记,8.5,张爱玲,哈尔滨出版社,2005-6,13.5,https://book.douban.com/subject/3017857/
夏洛的网,8.6,[美] E.B.怀特,上海译文出版社,2004-5,17.0,https://book.douban.com/subject/1036274/
月亮忘記了,8.6,幾米,格林,2000-2-1,299.0,https://book.douban.com/subject/1358873/
我的天才女友,8.5,[意] 埃莱娜·费兰特,人民文学出版社,2017-1,42.0,https://book.douban.com/subject/26878124/
此间的少年,8.4,江南,华文出版社,2004-1,25.0,https://book.douban.com/subject/1020459/
人生,8.4,路遥,北京十月文艺出版社,2009-5,20.0,https://book.douban.com/subject/3803820/
史蒂夫·乔布斯传,8.7,[美] 沃尔特·艾萨克森,中信出版社,2011-10-24,68.0,https://book.douban.com/subject/6798611/
时间简史,8.8,[英] 史蒂芬·霍金,湖南科学技术出版社,2010-4,45.0,https://book.douban.com/subject/1034282/
鹿鼎记（全五册）,8.6,金庸,广州出版社 花城出版社,2008-3,108.0,https://book.douban.com/subject/1212893/
哭泣的骆驼,8.9,三毛,哈尔滨出版社,2003-6,15.8,https://book.douban.com/subject/1029111/
荆棘鸟,8.6,[澳] 考琳·麦卡洛,译林出版社,1998-7,28.0,https://book.douban.com/subject/1086249/
海贼王,9.5,尾田荣一郎,浙江人民美术出版社,2007-11,7.5,https://book.douban.com/subject/1474773/
红与黑,8.2,[法] 司汤达,人民文学出版社,2002,20.0,https://book.douban.com/subject/1007433/
伊豆的舞女,8.2,[日] 川端康成,广西师范大学出版社,2002-2,23.8,https://book.douban.com/subject/1005521/
长恨歌,8.2,王安忆,南海出版公司,2003-8,22.0,https://book.douban.com/subject/1082349/
一個人住第5年,8.4,高木直子,大田,2004-12-1,220.0,https://book.douban.com/subject/1346815/
陆犯焉识,8.8,严歌苓,作家出版社,2011-10,35.0,https://book.douban.com/subject/6880158/
东霓,8.6,笛安,长江文艺出版社,2010-7-1,26.8,https://book.douban.com/subject/4874131/
寻路中国,9.0,[美] 彼得·海斯勒,上海译文出版社,2011-1,33.0,https://book.douban.com/subject/5414391/
罗生门,8.7,[日]芥川龙之介,上海译文出版社,2008-7,12.0,https://book.douban.com/subject/3136271/
中国历代政治得失,9.2,钱穆,生活·读书·新知三联书店,2001,12.0,https://book.douban.com/subject/1003479/
你一定爱读的极简欧洲史,8.2,约翰·赫斯特（John Hirst）,广西师范大学出版社,2011-11-25,25.0,https://book.douban.com/subject/5366248/
常识,8.1,梁文道,广西师范大学出版社,2009-1,38.0,https://book.douban.com/subject/3344676/
自控力,8.2,[美]  凯利·麦格尼格尔,文化发展出版社(原印刷工业出版社),2012-8,39.8,https://book.douban.com/subject/10786473/
父与子全集,9.2,[德] 埃·奥·卜劳恩 绘,中国工人出版社,2003-4,20.0,https://book.douban.com/subject/1002898/
一千零一夜,8.6,纳训,人民文学出版社,2003-01,22.0,https://book.douban.com/subject/1035848/
变形记,8.4,[奥] 卡夫卡,浙江文艺出版社,2003-4,16.0,https://book.douban.com/subject/1213546/
项链,8.4,[法] 莫泊桑,河北教育出版社,2005-2,28.0,https://book.douban.com/subject/1258498/
一九八四·动物农场,9.3,[英] 乔治·奥威尔,上海译文出版社,2003-4,23.0,https://book.douban.com/subject/1082387/
时间旅行者的妻子,8.1,[美] 奥德丽·尼芬格,人民文学出版社,2007-4,29.9,https://book.douban.com/subject/2056749/
失恋33天,8.0,鲍鲸鲸,中信出版社,2010-1,25.0,https://book.douban.com/subject/4238754/
人性的弱点全集,8.2,[美] 戴尔·卡耐基,中国发展出版社,2008-1,25.0,https://book.douban.com/subject/1056295/
未来简史,8.4,[以色列] 尤瓦尔·赫拉利,中信出版集团,2017-2,68.0,https://book.douban.com/subject/26943161/
匆匆那年（上下）,8.2,九夜茴,东方出版社,2008-1,29.0,https://book.douban.com/subject/2567919/
影响力,8.6,[美] 罗伯特·西奥迪尼,中国人民大学出版社,2006-5,45.0,https://book.douban.com/subject/1786387/
历史深处的忧虑,9.0,林达,生活·读书·新知三联书店,1997-5,19.0,https://book.douban.com/subject/1027191/
那些年，我们一起追的女孩,8.2,九把刀,花山文艺出版社,2007-1,20.0,https://book.douban.com/subject/1958227/
人间词话,9.0,王国维,上海古籍出版社,1998-12-01,9.8,https://book.douban.com/subject/1203426/
新名字的故事,9.0,[意] 埃莱娜·费兰特,人民文学出版社,2017-4,59.0,https://book.douban.com/subject/26986954/
长安十二时辰 上,8.4,马伯庸,湖南文艺出版社,2017-1-1,79.6,https://book.douban.com/subject/26899537/
冰与火之歌（卷一）,9.3,[美] 乔治·R. R. 马丁,重庆出版社,2005-5,68.0,https://book.douban.com/subject/1336330/
雨季不再来,8.7,三毛,北京十月文艺出版社,2007-7,28.0,https://book.douban.com/subject/2136140/
面纱,8.7,(英)W.萨默塞特·毛姆,重庆,2012-05-01,32.0,https://book.douban.com/subject/10560798/
橙,8.2,安东尼,长江文艺出版社,2010-10,28.8,https://book.douban.com/subject/5327697/
世界尽头与冷酷仙境,8.6,[日] 村上春树,上海译文出版社,2002-12,23.0,https://book.douban.com/subject/1291809/
江城,9.0,[美] 彼得·海斯勒,上海译文出版社,2012-1,36.0,https://book.douban.com/subject/7060185/
香水,8.5,[德] 帕·聚斯金德,上海译文出版社,2005-5,20.0,https://book.douban.com/subject/1292416/
大地之灯,8.2,七堇年,长江文艺出版社,2007-1,22.0,https://book.douban.com/subject/1963310/
阿狸·梦之城堡,9.0,hans,上海锦绣文章出版社,2009-1,36.8,https://book.douban.com/subject/3554154/
